total_trades,win_rate,return_pct,profit_factor,total_pnl,consensus,stop_loss,take_profit,rr_ratio,score
2,50.0,0.15,1.91,14.65,1.0,0.015,0.03,2.0,24.625
2,50.0,0.41,3.56,41.13,1.0,0.015,0.04,2.67,33.005
2,50.0,0.41,3.56,41.13,1.0,0.015,0.05,3.33,33.005
2,50.0,0.46,3.86,45.99,1.0,0.015,0.06,4.0,34.53
2,50.0,-0.02,0.93,-2.19,1.0,0.02,0.03,1.5,19.64
2,50.0,0.24,1.74,24.29,1.0,0.02,0.04,2.0,23.82
2,50.0,0.24,1.74,24.29,1.0,0.02,0.05,2.5,23.82
2,50.0,0.29,1.88,29.14,1.0,0.02,0.06,3.0,24.544999999999998
2,50.0,-0.02,0.93,-2.19,1.0,0.025,0.03,1.2,19.64
2,50.0,0.24,1.74,24.29,1.0,0.025,0.04,1.6,23.82
2,50.0,0.24,1.74,24.29,1.0,0.025,0.05,2.0,23.82
2,50.0,0.29,1.88,29.14,1.0,0.025,0.06,2.4,24.544999999999998
2,50.0,0.24,1.74,24.29,1.0,0.03,0.04,1.33,23.82
2,50.0,0.24,1.74,24.29,1.0,0.03,0.05,1.67,23.82
2,50.0,0.29,1.88,29.14,1.0,0.03,0.06,2.0,24.544999999999998
